Customer Name,Product Category,Sales Amount
Nisha Reddy,Sports,26178.67
Sanjay Rao,Sports,25039.19
Arjun Verma,Clothing,31618.79
Amit Nair,Clothing,9963.87
Sanjay Nair,Furniture,63905.82
Pooja Mishra,Books,8220.04
Ananya Verma,Furniture,17177.15
Sunita Patel,Sports,55004.13
Sunita Bose,Furniture,4394.74
Amit Sharma,Books,7920.13
Shreya Mehta,Beauty,2363.7
Kavya Singh,Clothing,20953.37
Nisha Bhat,Beauty,359.88
Ritu Bose,Books,5241.79
Sanjay Mishra,Beauty,20195.66
Ritu Joshi,Sports,6220.68
Meera Pillai,Sports,19652.06
Arjun Gupta,Furniture,35266.77
Sunita Patel,Electronics,53611.5
Arjun Verma,Books,15244.18
Karan Gupta,Books,2058.59
Aarav Joshi,Clothing,3624.78
Ananya Patel,Clothing,911.76
Ananya Mehta,Beauty,4400.47
Ritu Kumar,Books,778.16
Aditya Shah,Groceries,414.31
Ananya Sharma,Furniture,119013.87
Vikram Singh,Clothing,2937.26
Rahul Patel,Beauty,10154.82
Meera Patel,Electronics,627898.81
Priya Singh,Beauty,2822.23
Pooja Shah,Clothing,9893.97
Aditya Mehta,Sports,57905.39
Kavya Rao,Clothing,6367.6
Shreya Bose,Books,2443.04
Ananya Das,Electronics,175402.71
Aarav Kapoor,Beauty,13036.59
Pooja Rao,Clothing,6175.08
Kavya Das,Furniture,236017.16
Karan Mishra,Sports,128001.22
Vikram Verma,Beauty,1272.71
Pooja Reddy,Clothing,21680.07
Ritu Nair,Electronics,171768.97
Ritu Patel,Clothing,18790.52
Ritu Verma,Books,3579.91
Kavya Shah,Furniture,6777.56
Karan Mishra,Books,957.41
Ananya Mishra,Books,5162.57
Ritu Bose,Groceries,2265.28
Sunita Verma,Sports,81951.13
Aarav Patel,Books,12103.46
,,
Pooja Mishra,Sports,89828.71
Nisha Iyer,Electronics,44683.38
Aarav Shah,Furniture,189614.18
Priya Mehta,Electronics,385580.53
Nikhil Nair,Beauty,2961.7
Deepa Pillai,Electronics,446345.61
Rohan Chatterjee,Beauty,902.31
Meera Chatterjee,Sports,373.9
Karan Gupta,Groceries,553.5
Ritu Gupta,Furniture,80865.4
Sanjay Gupta,Electronics,188221.16
Nikhil Iyer,Clothing,4690.45
Ananya Bhat,Groceries,1997.66
Karan Reddy,Sports,29090.53
Vikram Pillai,Sports,9249.06
Deepa Kapoor,Furniture,7223.61
Aarav Mishra,Electronics,283224.55
Sanjay Verma,Sports,8294.3
Karan Sharma,Sports,15164.38
Aarav Rao,Clothing,3584.88
Sunita Singh,Electronics,130268.18
Arjun Patel,Sports,10411.35
Vikram Singh,Electronics,180888.8
Rahul Sharma,Beauty,12188.57
Aarav Bose,Groceries,2491.46
Kavya Sharma,Furniture,191258.73
Pooja Patel,Furniture,14719.17
Ritu Joshi,Sports,86000.34
Aditya Chatterjee,Beauty,5747.77
Amit Reddy,Books,1449.86
Priya Shah,Electronics,197546.47
Nisha Nair,Sports,3192.22
Ritu Gupta,Electronics,182018.37
Meera Patel,Groceries,1215.29
Rahul Singh,Electronics,31528.73
Aditya Nair,Groceries,1586.7
Ananya Singh,Furniture,12705.04
Arjun Bose,Furniture,13208.25
Nisha Kumar,Books,1040.24
Amit Rao,Electronics,176221.6
Rahul Mehta,Books,3554.23
Vikram Verma,Clothing,5294.75
Meera Kapoor,Electronics,247342.73
Amit Singh,Clothing,14616.34
Nikhil Kumar,Beauty,19204.0
Nisha Gupta,Sports,54877.82
Ananya Verma,Beauty,2271.48
Karan Mishra,Sports,13694.75
Priya Chatterjee,Beauty,1209.0
Sunita Bose,Furniture,53652.43
Priya Bose,Sports,20228.5
Aditya Mishra,Books,9412.99
Rohan Bhat,Clothing,4360.69
Aarav Mishra,Clothing,3766.06
Aditya Patel,Books,3679.38
Ananya Shah,Books,5878.72
Shreya Gupta,Books,2804.09
Pooja Bhat,Groceries,1665.43
Vikram Gupta,Beauty,4784.7
Aditya Pillai,Electronics,105694.63
Vikram Gupta,Groceries,258.54
Meera Iyer,Groceries,855.21
Ritu Bhat,Groceries,1270.29
Shreya Shah,Clothing,35409.06
Rohan Verma,Clothing,5186.09
Sanjay Mishra,Beauty,13938.43
Priya Shah,Beauty,2825.92
Arjun Patel,Beauty,15281.74
Kavya Kapoor,Clothing,3326.03
Rohan Bhat,Electronics,221219.87
Rahul Rao,Beauty,2408.87
Ananya Singh,Electronics,202708.19
Ritu Gupta,Furniture,161990.01
Aarav Rao,Electronics,271257.62
Ananya Shah,Books,1424.19
Meera Nair,Furniture,79749.85
Sunita Reddy,Electronics,281237.44
Ritu Mishra,Electronics,523395.38
Kavya Bose,Electronics,106383.22
Amit Bose,Books,4643.97
Rahul Mishra,Furniture,154037.83
Meera Kumar,Groceries,1426.02
Nikhil Chatterjee,Groceries,531.13
,,
Aarav Singh,Clothing,32366.71
Deepa Nair,Electronics,50301.08
Amit Bose,Clothing,7459.65
Aditya Patel,Furniture,51661.63
Ananya Mishra,Furniture,215673.94
Rohan Mehta,Clothing,8259.53
Arjun Rao,Beauty,2046.31
Karan Iyer,Sports,47607.55
Kavya Reddy,Clothing,31426.55
Sanjay Gupta,Sports,10108.14
Aarav Sharma,Clothing,1022.04
Vikram Mishra,Electronics,647259.03
Priya Singh,Groceries,1431.69
Amit Reddy,Groceries,1491.46
Ananya Bhat,Sports,9678.82
Kavya Bhat,Beauty,3186.03
Aditya Bose,Groceries,5100.96
Sunita Chatterjee,Groceries,325.22
Ananya Singh,Sports,51448.04
Nikhil Nair,Groceries,268.86
Meera Kumar,Furniture,61642.35
Ananya Bhat,Books,5619.07
Arjun Bose,Sports,57299.76
Kavya Shah,Groceries,2258.19
Sanjay Bhat,Beauty,8709.27
Nisha Rao,Books,560.43
Deepa Sharma,Books,539.57
Aditya Das,Beauty,18524.57
Rahul Bhat,Beauty,2826.56
Deepa Mehta,Beauty,14916.43
Nikhil Mishra,Electronics,79433.81
Nikhil Bhat,Sports,39215.89
Ananya Gupta,Furniture,475250.99
Rohan Kapoor,Furniture,21297.23
Shreya Bose,Sports,618.29
Rahul Sharma,Electronics,482509.98
Sanjay Joshi,Books,216.04
Deepa Iyer,Clothing,22647.02
Ritu Mehta,Sports,11764.77
Shreya Bhat,Beauty,10118.86
Nisha Patel,Books,2606.02
Karan Mishra,Sports,66009.55
Amit Reddy,Groceries,2656.34
Arjun Reddy,Clothing,31229.97
Ananya Kumar,Sports,11714.4
Pooja Singh,Electronics,371584.08
Rohan Rao,Sports,14790.65
Vikram Shah,Books,2139.34
Meera Kumar,Books,1186.63
Kavya Iyer,Groceries,2163.54
Rahul Shah,Beauty,30857.19
Priya Mehta,Clothing,2790.47
Ritu Shah,Sports,25140.26
Ritu Gupta,Sports,14376.69
Aarav Patel,Groceries,132.26
Amit Das,Beauty,5867.49
Aditya Gupta,Clothing,4117.6
Amit Kumar,Furniture,103163.26
Nisha Kumar,Beauty,8975.56
Kavya Kumar,Beauty,1867.03
Amit Patel,Sports,52648.79
Karan Rao,Beauty,9293.85
Meera Pillai,Sports,12021.65
Amit Verma,Clothing,9663.61
Rahul Sharma,Sports,32632.91
Rahul Nair,Sports,84123.31
Priya Kumar,Groceries,1593.89
Ritu Shah,Electronics,16558.81
Karan Nair,Clothing,47758.51
Kavya Reddy,Clothing,14780.74
Karan Verma,Furniture,356477.73
Aditya Patel,Beauty,10729.59
Shreya Iyer,Electronics,68948.2
Shreya Pillai,Beauty,6658.21
Sunita Das,Beauty,6564.17
Ananya Kumar,Electronics,18619.85
Deepa Das,Beauty,4385.27
Aditya Rao,Clothing,3493.62
Sunita Verma,Groceries,1379.32
Deepa Gupta,Beauty,5331.18
Kavya Rao,Sports,98825.46
Aarav Mehta,Books,960.99
Sunita Patel,Electronics,204235.41
Nisha Mehta,Beauty,3402.85
Ritu Chatterjee,Furniture,123743.08
Aditya Das,Books,1754.21
Ritu Joshi,Furniture,251225.51
Karan Bose,Clothing,4033.47
Amit Kapoor,Sports,22682.85
Shreya Patel,Clothing,2217.29
Ritu Gupta,Clothing,3776.1
Kavya Mehta,Books,1538.2
Meera Reddy,Groceries,1072.27
Shreya Mishra,Books,6095.48
Sunita Rao,Books,11448.61
Amit Mishra,Sports,1106.02
Karan Nair,Furniture,157002.59
Ritu Patel,Electronics,571655.9
Rahul Bose,Furniture,66859.47
Sunita Reddy,Books,699.17
Sanjay Singh,Clothing,8503.76
Meera Shah,Beauty,14214.4
Aditya Iyer,Sports,3842.87
Rohan Bhat,Clothing,1958.29
Rahul Iyer,Books,7769.9
Priya Verma,Groceries,2171.58
Deepa Chatterjee,Books,3628.96
Rahul Bose,Groceries,2966.57
Karan Patel,Sports,30187.27
Nikhil Shah,Sports,39508.65
Nisha Joshi,Electronics,19360.65
Shreya Mishra,Electronics,538833.63
Aarav Verma,Beauty,3724.57
,,
Ananya Rao,Furniture,25389.56
Amit Mehta,Furniture,90019.76
Ritu Bose,Beauty,2271.02
Sunita Mishra,Electronics,154095.36
Arjun Reddy,Sports,4599.35
Vikram Bhat,Groceries,564.98
Karan Rao,Clothing,14005.89
Vikram Rao,Sports,73166.71
Nisha Shah,Furniture,34892.59
Ananya Reddy,Clothing,25267.42
Ananya Patel,Beauty,5920.27
Kavya Joshi,Electronics,436216.85
Nisha Iyer,Clothing,15452.12
Karan Reddy,Electronics,353527.87
Amit Bhat,Books,1278.54
Nikhil Iyer,Beauty,4268.95
Pooja Rao,Beauty,2751.04
Nisha Shah,Electronics,281133.54
Pooja Chatterjee,Clothing,23548.92
Ritu Bose,Books,5241.79
Shreya Bose,Groceries,3183.79
Aditya Kumar,Beauty,643.64
Karan Verma,Furniture,10840.71
Rohan Bhat,Electronics,95994.28
Meera Verma,Electronics,63975.84
Rahul Bhat,Sports,44053.34
Karan Shah,Books,3566.39
Nikhil Joshi,Sports,28327.7
Sunita Bose,Sports,11315.53
Vikram Sharma,Beauty,5621.99
Ritu Mishra,Electronics,51680.51
Nisha Iyer,Sports,4790.25
Vikram Das,Beauty,1828.13
Kavya Shah,Beauty,9882.2
Pooja Pillai,Clothing,26237.94
Pooja Verma,Electronics,238162.29
Pooja Chatterjee,Electronics,18096.43
Ritu Kumar,Clothing,9330.68
Ananya Sharma,Books,1032.77
Nikhil Joshi,Furniture,8461.81
Shreya Rao,Books,1015.04
Kavya Reddy,Beauty,10495.02
Priya Pillai,Furniture,21348.67
Amit Sharma,Electronics,78608.45
Amit Chatterjee,Groceries,435.55
Nikhil Patel,Sports,35739.9
Arjun Bhat,Groceries,1288.33
Arjun Pillai,Clothing,1246.04
Pooja Patel,Books,2819.84
Arjun Das,Groceries,818.88
Karan Verma,Electronics,130564.4
Ananya Kumar,Sports,106448.38
Shreya Kapoor,Electronics,266029.05
Karan Rao,Electronics,80565.98
Sunita Bhat,Beauty,429.47
Pooja Chatterjee,Clothing,5511.95
Meera Kumar,Sports,99575.7
Pooja Pillai,Electronics,400648.58
Rohan Mishra,Furniture,53952.69
Rahul Patel,Clothing,9605.16
Meera Shah,Sports,17024.05
Rahul Rao,Beauty,3695.81
Shreya Joshi,Sports,19963.26
Amit Singh,Furniture,186136.9
Arjun Gupta,Clothing,14243.78
Nisha Gupta,Electronics,145274.42
Sunita Chatterjee,Beauty,5679.24
Ritu Bose,Groceries,1373.62
Deepa Bhat,Furniture,42758.89
Priya Das,Clothing,3015.82
Rahul Sharma,Clothing,1938.25
Sanjay Bose,Clothing,664.52
Vikram Joshi,Clothing,24539.81
Sanjay Kapoor,Groceries,1026.65
Karan Verma,Beauty,3569.04
Vikram Kapoor,Books,10694.49
Vikram Mehta,Beauty,1734.31
Sanjay Mehta,Clothing,6753.1
Shreya Singh,Furniture,9976.28
Kavya Das,Sports,7659.05
Kavya Shah,Sports,7375.32
Sanjay Singh,Electronics,173570.72
Arjun Kumar,Furniture,22350.68
Vikram Patel,Books,2492.55
Vikram Joshi,Sports,30208.26
Shreya Bhat,Clothing,1723.9
Aarav Sharma,Sports,10169.91
Nikhil Sharma,Books,5253.1
Rahul Sharma,Groceries,891.35
Karan Gupta,Electronics,159763.82
Aarav Singh,Groceries,3659.71
Aarav Kapoor,Groceries,3507.4
Rohan Kapoor,Books,1896.15
Nikhil Pillai,Groceries,1455.0
Amit Reddy,Furniture,185665.67
Ananya Gupta,Electronics,179559.91
Aditya Singh,Beauty,1205.28
Ananya Mehta,Electronics,248755.47
Nikhil Singh,Groceries,1216.57
Nisha Sharma,Books,1052.33
Pooja Mishra,Books,8220.04
Nisha Patel,Books,1249.54
Arjun Sharma,Sports,47812.7
Aarav Gupta,Sports,68019.81
Aarav Gupta,Books,5862.96
Karan Das,Furniture,90617.58
Amit Reddy,Books,7343.37
Shreya Kumar,Furniture,138458.15
Meera Patel,Books,6552.28
Meera Bhat,Electronics,258421.55
Vikram Pillai,Books,3635.51
Meera Singh,Beauty,9023.4
Ananya Verma,Sports,101289.99
Pooja Pillai,Books,6567.18
Vikram Gupta,Furniture,189801.32
Aarav Singh,Electronics,259751.74
Aarav Joshi,Electronics,270538.05
Priya Kumar,Electronics,374026.43
Pooja Chatterjee,Sports,6923.51
Nikhil Mishra,Groceries,817.39
Kavya Joshi,Sports,16571.32
Arjun Sharma,Sports,5170.48
Nikhil Chatterjee,Electronics,32461.48
Amit Kumar,Electronics,165469.13
Rahul Shah,Groceries,728.29
Aarav Chatterjee,Groceries,3296.41
Pooja Bhat,Groceries,270.5
Pooja Nair,Furniture,102410.73
Shreya Bose,Groceries,3271.29
Rohan Gupta,Furniture,128843.9
Nisha Mehta,Furniture,16660.91
Sunita Iyer,Books,2369.15
Aditya Nair,Furniture,190620.36
Priya Kumar,Clothing,6527.94
Vikram Gupta,Clothing,1813.71
Aditya Iyer,Furniture,9242.24
Karan Nair,Clothing,7720.71
Nikhil Nair,Electronics,212011.56
Pooja Das,Electronics,102960.53
Ritu Shah,Beauty,1821.82
Kavya Mishra,Groceries,245.84
Priya Joshi,Clothing,29990.07
Shreya Mehta,Groceries,1417.4
Sunita Reddy,Books,1452.88
Rohan Shah,Sports,6238.78
Priya Kumar,Groceries,255.27
Amit Nair,Sports,11417.09
Ritu Iyer,Beauty,5755.36
